"","x"
"1103",-0.014
"1104",-0.236
"1105",0.018
"1106",-0.147
"1107",-0.212
"1108",-0.091
"1109",0.005
"1110",-0.019
"1111",-0.14
"1112",-0.092
"1113",-0.093
"1114",-0.033
"1115",-0.096
"1116",-0.205
"1117",0.107
"1118",-0.201
"1119",-0.187
"1120",-0.043
"1121",-0.113
"1122",-0.15
"1123",-0.11
"1124",-0.043
"1125",-0.058
"1126",-0.06
"1127",-0.084
"1128",-0.23
"1129",-0.329
"1130",-0.274
"1131",-0.157
"1132",-0.209
"1133",-0.148
"1134",-0.119
"1135",-0.139
"1136",-0.165
"1137",-0.135
"1138",-0.17
"1139",-0.403
"1140",-0.237
"1141",-0.364
"1142",-0.462
"1143",-0.27
"1144",-0.157
"1145",-0.089
"1146",-0.053
"1147",-0.018
"1148",0.044
"1149",0.091
"1150",0.092
"1151",-0.036
"1152",0.106
"1153",0.106
"1154",0.069
"1155",-0.121
"1156",0.021
"1157",-0.007
"1158",0.008
"1159",0.003
"1160",0.018
"1161",0.018
"1162",-0.056
"1163",-0.218
"1164",-0.086
"1165",0.051
"1166",0.122
"1167",0.107
"1168",0.112
"1169",0.021
"1170",0.03
"1171",-0.039
"1172",0.015
"1173",0.047
"1174",0.056
"1175",-0.071
"1176",0.068
"1177",-0.221
"1178",-0.103
"1179",-0.186
"1180",-0.212
"1181",-0.254
"1182",-0.158
"1183",-0.254
"1184",-0.146
"1185",-0.107
"1186",-0.112
"1187",-0.021
"1188",-0.247
"1189",0.053
"1190",-0.169
"1191",-0.389
"1192",-0.29
"1193",-0.219
"1194",-0.188
"1195",-0.192
"1196",-0.075
"1197",-0.103
"1198",-0.115
"1199",-0.268
"1200",-0.32
"1201",-0.239
"1202",-0.379
"1203",-0.323
"1204",-0.326
"1205",-0.323
"1206",-0.261
"1207",-0.203
"1208",-0.242
"1209",-0.268
"1210",-0.195
"1211",-0.295
"1212",-0.248
"1213",-0.154
"1214",-0.103
"1215",-0.115
"1216",-0.066
"1217",0.013
"1218",0.05
"1219",-0.019
"1220",0.061
"1221",0.027
"1222",-0.002
"1223",0.083
"1224",0.168
"1225",0.275
"1226",0.174
"1227",0.065
"1228",0.046
"1229",0.045
"1230",0.001
"1231",0.049
"1232",0.017
"1233",-0.034
"1234",0.013
"1235",0.041
"1236",0.078
"1237",0.11
"1238",0.056
"1239",0.088
"1240",0.062
"1241",-0.01
"1242",0.053
"1243",0.033
"1244",-0.011
"1245",0.032
"1246",-0.061
"1247",-0.138
"1248",-0.055
"1249",-0.02
"1250",0.158
"1251",-0.296
"1252",-0.128
"1253",-0.133
"1254",0.009
"1255",0.006
"1256",0.009
"1257",0.042
"1258",-0.006
"1259",-0.118
"1260",0.136
"1261",0.028
"1262",0.134
"1263",0.055
"1264",0.069
"1265",0.077
"1266",0.066
"1267",-0.023
"1268",0.007
"1269",-0.023
"1270",-0.079
"1271",-0.049
"1272",-0.092
"1273",0.031
"1274",0.087
"1275",0.016
"1276",-0.02
"1277",-0.067
"1278",-0.062
"1279",-0.022
"1280",-0.017
"1281",-0.004
"1282",0.033
"1283",0.024
"1284",0.027
"1285",-0.042
"1286",0.166
"1287",-0.123
"1288",-0.053
"1289",-0.04
"1290",-0.021
"1291",0.061
"1292",0.1
"1293",0.085
"1294",0.155
"1295",0.11
"1296",0.016
"1297",-0.023
"1298",-0.158
"1299",-0.277
"1300",-0.246
"1301",-0.175
"1302",-0.185
"1303",-0.172
"1304",-0.255
"1305",-0.283
"1306",-0.342
"1307",-0.297
"1308",-0.414
"1309",-0.195
"1310",-0.29
"1311",-0.244
"1312",-0.273
"1313",-0.155
"1314",-0.129
"1315",-0.217
"1316",-0.127
"1317",-0.1
"1318",-0.055
"1319",-0.148
"1320",-0.078
"1321",-0.097
"1322",-0.08
"1323",-0.066
"1324",-0.132
"1325",-0.12
"1326",0.017
"1327",0.005
"1328",-0.057
"1329",-0.018
"1330",-0.119
"1331",-0.108
"1332",-0.218
"1333",-0.172
"1334",-0.269
"1335",-0.11
"1336",-0.094
"1337",0.019
"1338",-0.125
"1339",-0.112
"1340",-0.052
"1341",-0.096
"1342",0.071
"1343",-0.107
"1344",-0.134
"1345",-0.272
"1346",-0.227
"1347",0.015
"1348",-0.192
"1349",-0.209
"1350",-0.095
"1351",-0.068
"1352",-0.055
"1353",-0.053
"1354",-0.013
"1355",-0.05
"1356",-0.093
"1357",-0.178
"1358",-0.106
"1359",0.028
"1360",0.104
"1361",0.079
"1362",0.025
"1363",0.076
"1364",0.051
"1365",0.027
"1366",0.039
"1367",0.13
"1368",0.169
"1369",0.068
"1370",0.172
"1371",-0.04
"1372",0.043
"1373",-0.042
"1374",-0.013
"1375",-0.067
"1376",-0.079
"1377",-0.051
"1378",-0.096
"1379",-0.07
"1380",-0.215
"1381",-0.078
"1382",-0.309
"1383",-0.286
"1384",-0.236
"1385",-0.232
"1386",-0.246
"1387",-0.152
"1388",-0.129
"1389",-0.126
"1390",-0.148
"1391",-0.126
"1392",-0.206
"1393",-0.35
"1394",-0.286
"1395",-0.154
"1396",-0.065
"1397",-0.038
"1398",0.022
"1399",0.013
"1400",0.069
"1401",-0.002
"1402",0.052
"1403",0.016
"1404",0.173
"1405",0.187
"1406",0.263
"1407",0.237
"1408",0.137
"1409",0.129
"1410",0.128
"1411",0.074
"1412",0.028
"1413",-0.023
"1414",0.011
"1415",-0.071
"1416",-0.07
"1417",-0.301
"1418",-0.314
"1419",-0.194
"1420",-0.169
"1421",-0.146
"1422",-0.111
"1423",-0.065
"1424",-0.073
"1425",-0.14
"1426",-0.172
"1427",-0.174
"1428",-0.218
"1429",-0.077
"1430",-0.111
"1431",-0.092
"1432",-0.091
"1433",-0.038
"1434",-0.082
"1435",-0.082
"1436",-0.12
"1437",-0.066
"1438",-0.22
"1439",-0.264
"1440",-0.281
"1441",-0.197
"1442",-0.278
"1443",-0.391
"1444",-0.153
"1445",-0.258
"1446",-0.148
"1447",-0.156
"1448",-0.165
"1449",-0.129
"1450",-0.294
"1451",-0.166
"1452",-0.092
"1453",-0.112
"1454",0.088
"1455",0.14
"1456",0.122
"1457",0.06
"1458",0.123
"1459",0.051
"1460",0.019
"1461",0.067
"1462",0.017
"1463",0.14
"1464",-0.014
"1465",0.065
"1466",0.027
"1467",0.027
"1468",-0.03
"1469",-0.114
"1470",-0.13
"1471",-0.031
"1472",-0.12
"1473",-0.045
"1474",-0.092
"1475",0.011
"1476",-0.041
"1477",0.014
"1478",-0.121
"1479",0.006
"1480",-0.042
"1481",-0.023
"1482",0.078
"1483",0.036
"1484",0.114
"1485",0.128
"1486",0.159
"1487",0.138
"1488",0.334
"1489",0.129
"1490",0.148
"1491",0.047
"1492",0.138
"1493",0.203
"1494",0.126
"1495",0.067
"1496",0.056
"1497",0.04
"1498",0.032
"1499",0.162
"1500",0.056
"1501",0.304
"1502",0.202
"1503",0.227
"1504",0.159
"1505",0.067
"1506",0.077
"1507",0.042
"1508",0.09
"1509",0.072
"1510",0.035
"1511",0.074
"1512",0.254
"1513",-0.007
"1514",-0.025
"1515",-0.104
"1516",0.03
"1517",0.051
"1518",-0.021
"1519",-0.002
"1520",-0.011
"1521",0.077
"1522",0.039
"1523",-0.012
"1524",0.209
"1525",0.373
"1526",0.334
"1527",0.247
"1528",0.188
"1529",0.173
"1530",0.198
"1531",0.207
"1532",0.235
"1533",0.211
"1534",0.114
"1535",0.276
"1536",0.113
"1537",0.13
"1538",0.047
"1539",0.106
"1540",0.037
"1541",0.115
"1542",0.018
"1543",0.061
"1544",0.095
"1545",0.036
"1546",0.012
"1547",-0.078
"1548",-0.211
"1549",0.086
"1550",-0.093
"1551",0.01
"1552",-0.015
"1553",0.052
"1554",-0.033
"1555",-0.018
"1556",0.047
"1557",0.005
"1558",0.029
"1559",-0.016
"1560",0.086
"1561",0.198
"1562",0.185
"1563",0.12
"1564",0.109
"1565",0.102
"1566",0.116
"1567",0.055
"1568",0.053
"1569",0.076
"1570",0.077
"1571",-0.029
"1572",0.084
"1573",0.189
"1574",0.339
"1575",0.07
"1576",0.182
"1577",0.199
"1578",0.219
"1579",0.33
"1580",0.27
"1581",0.33
"1582",0.264
"1583",0.252
"1584",0.418
"1585",0.427
"1586",0.297
"1587",0.373
"1588",0.316
"1589",0.248
"1590",0.251
"1591",0.2
"1592",0.22
"1593",0.166
"1594",0.185
"1595",0.038
"1596",0.143
"1597",0.061
"1598",0.159
"1599",0.155
"1600",0.131
"1601",0.107
"1602",0.148
"1603",0.208
"1604",0.206
"1605",0.198
"1606",0.225
"1607",0.132
"1608",0.243
"1609",0.237
"1610",0.283
"1611",0.534
"1612",0.355
"1613",0.282
"1614",0.271
"1615",0.253
"1616",0.291
"1617",0.218
"1618",0.351
"1619",0.36
"1620",0.26
"1621",0.301
"1622",0.385
"1623",0.22
"1624",0.376
"1625",0.296
"1626",0.341
"1627",0.289
"1628",0.222
"1629",0.21
"1630",0.173
"1631",0.107
"1632",0.095
"1633",0.349
"1634",0.306
"1635",0.245
"1636",0.143
"1637",0.144
"1638",0.13
"1639",0.02
"1640",0.035
"1641",0.004
"1642",-0.021
"1643",-0.064
"1644",0.097
"1645",0.321
"1646",0.296
"1647",0.262
"1648",0.227
"1649",0.223
"1650",0.169
"1651",0.136
"1652",0.111
"1653",0.051
"1654",0.137
"1655",0.017
"1656",0.194
"1657",0.222
"1658",-0.032
"1659",0.223
"1660",0.243
"1661",0.244
"1662",0.224
"1663",0.185
"1664",0.224
"1665",0.239
"1666",0.327
"1667",0.361
"1668",0.331
"1669",0.462
"1670",0.558
"1671",0.373
"1672",0.319
"1673",0.281
"1674",0.369
"1675",0.387
"1676",0.415
"1677",0.323
"1678",0.35
"1679",0.361
"1680",0.28
"1681",0.163
"1682",0.343
"1683",0.217
"1684",0.164
"1685",0.256
"1686",0.274
"1687",0.281
"1688",0.228
"1689",0.189
"1690",0.165
"1691",0.166
"1692",0.278
"1693",0.254
"1694",0.348
"1695",0.324
"1696",0.295
"1697",0.299
"1698",0.431
"1699",0.422
"1700",0.444
"1701",0.517
"1702",0.538
"1703",0.488
"1704",0.572
"1705",0.512
"1706",0.824
"1707",0.593
"1708",0.66
"1709",0.613
"1710",0.639
"1711",0.704
"1712",0.67
"1713",0.475
